CPU_count;Matrix_size;Algo_time;Write_time
80;5500;31.618762;1.319141
96;5500;39.092793;0.825088
104;5500;42.724996;0.708896
112;5500;47.199962;1.008284
128;5500;52.998056;0.994026
16;6000;76.440736;0.480726
24;6000;50.789713;1.032722
32;6000;38.627834;1.108993
40;6000;32.856235;0.957721
48;6000;29.914120;1.328008
56;6000;29.069081;1.221336
64;6000;29.856569;0.663305
72;6000;32.686291;1.243363
80;6000;35.884722;1.309139
88;6000;40.051118;1.176619
96;6000;43.869713;0.798398
104;6000;47.675407;0.774826
112;6000;51.710140;0.907472
128;6000;59.434176;1.064650
16;6500;97.614235;1.409175
24;6500;67.576445;1.307119
32;6500;48.928065;0.935949
40;6500;40.972479;1.537308
48;6500;36.506748;1.086767
56;6500;34.914498;1.100627
64;6500;35.416826;0.957314
72;6500;36.692865;1.854614
80;6500;40.382230;1.203062
88;6500;44.383742;0.975276
96;6500;49.239347;0.774629
104;6500;53.332932;1.444833
112;6500;57.730804;1.201857
128;6500;66.943928;1.158229
16;7000;121.036270;0.964507
24;7000;80.565275;1.149589
32;7000;61.330931;1.077615
40;7000;50.479119;1.545640
48;7000;44.747829;1.374856
56;7000;41.294132;1.442306
64;7000;40.915794;1.321464
72;7000;42.358843;1.074596
80;7000;45.273287;1.335019
88;7000;49.333109;1.499598
96;7000;54.380168;1.153290
104;7000;59.357068;1.569860
112;7000;64.512898;0.897638
128;7000;74.020981;1.088320
16;7500;147.475328;1.076820
24;7500;99.206044;1.391775
32;7500;73.837343;1.213781
40;7500;61.274240;0.715173
48;7500;53.795041;1.999424
56;7500;49.004278;1.288508
64;7500;47.692033;1.060469
72;7500;48.475581;1.565194
80;7500;51.395699;1.485920
88;7500;55.408067;1.254375
96;7500;59.976116;1.885755
104;7500;65.338627;0.673759
112;7500;70.884355;0.981566
128;7500;81.757320;1.298722
16;8000;178.644891;1.893540
24;8000;118.416436;1.191758
32;8000;89.032182;2.044182
40;8000;72.959898;1.553922
48;8000;63.565940;0.927769
56;8000;58.342141;1.669959
64;8000;56.625174;1.877087
72;8000;55.665744;1.379577
80;8000;57.425927;1.499740
88;8000;61.785193;1.367413
96;8000;66.853840;1.415363
104;8000;72.672074;1.624485
112;8000;78.708039;1.837604
128;8000;90.676667;1.527072
16;8500;214.495044;1.605974
24;8500;141.683243;1.802497
32;8500;106.570900;2.708598
40;8500;86.848265;1.600186
48;8500;75.421526;1.458556
56;8500;67.670550;1.747799
64;8500;64.091838;1.378734
72;8500;63.400731;1.661601
80;8500;65.037759;1.979875
88;8500;69.918499;1.818218
96;8500;75.161278;1.659421
104;8500;80.752891;1.694692
112;8500;87.113868;2.241077
128;8500;100.152164;2.192226
16;9000;254.246471;1.798410
24;9000;167.236235;1.697349
32;9000;126.038153;2.115347
40;9000;102.203256;2.174664
48;9000;88.592036;1.384917
56;9000;78.837249;1.873161
64;9000;73.787088;1.656800
72;9000;71.963384;1.986756
80;9000;72.445814;1.854492
88;9000;76.739953;1.504264
96;9000;81.484104;2.477721
104;9000;88.290805;1.605426
112;9000;94.448376;2.423038
128;9000;109.520130;1.581683
16;9500;299.072770;1.746215
24;9500;197.440393;2.495347
32;9500;148.072314;2.194164
40;9500;119.042300;1.976376
48;9500;102.559457;1.948326
56;9500;91.475653;2.225318
64;9500;85.472276;2.179815
72;9500;81.832803;2.184356
80;9500;81.214822;2.057300
88;9500;85.387260;2.033865
96;9500;88.607743;1.972110
104;9500;95.815618;2.322259
112;9500;102.729057;1.841219
128;9500;117.747159;2.584723
16;10000;350.832989;3.060493
24;10000;228.845717;2.184880
32;10000;172.257443;1.926749
40;10000;138.929655;1.974162
48;10000;118.681342;1.956527
56;10000;106.420635;2.822954
64;10000;97.442892;2.548145
72;10000;93.171516;2.371474
80;10000;92.152579;2.779860
88;10000;96.014439;2.358421
96;10000;98.125915;1.926391
104;10000;105.180802;2.386268
112;10000;111.491913;2.407648
128;10000;126.876623;1.582655
