1	100	0.006975
2	100	0.008779
4	100	0.003941
8	100	0.002590
16	100	0.006671
24	100	0.027760
32	100	0.011093
40	100	0.014359
48	100	0.016633
56	100	0.017897
64	100	0.025644
72	100	0.024061
80	100	0.027986
88	100	0.038380
96	100	0.029141
104	100	0.037057
112	100	0.032633
120	100	0.036612
128	100	0.042613
1	500	0.647369
2	500	0.657279
4	500	0.223752
8	500	0.100623
16	500	0.061985
24	500	0.090188
32	500	0.054547
40	500	0.071114
48	500	0.085815
56	500	0.106125
64	500	0.139686
72	500	0.184818
80	500	0.216690
88	500	0.284610
96	500	0.300825
104	500	0.384175
112	500	0.417843
120	500	0.447781
128	500	0.497708
1	1000	5.160185
2	1000	5.207419
4	1000	1.784406
8	1000	0.782244
16	1000	0.400465
24	1000	0.529278
32	1000	0.249886
40	1000	0.212511
48	1000	0.212159
56	1000	0.256657
64	1000	0.279404
72	1000	0.382065
80	1000	0.493030
88	1000	0.596350
96	1000	0.701036
104	1000	0.797425
112	1000	0.897463
120	1000	0.985570
128	1000	1.087132
1	1500	17.479006
2	1500	17.711063
4	1500	5.933113
8	1500	2.580213
16	1500	1.263873
24	1500	1.107183
32	1500	0.671021
40	1500	0.596506
48	1500	0.526835
56	1500	0.494490
64	1500	0.523622
72	1500	0.607115
80	1500	0.784817
88	1500	0.871480
96	1500	1.109997
104	1500	1.275683
112	1500	1.434614
120	1500	1.596135
128	1500	1.699925
1	2000	41.438201
2	2000	41.878858
4	2000	14.082805
8	2000	6.026773
16	2000	3.273544
24	2000	2.833333
32	2000	3.022632
40	2000	3.791201
48	2000	4.703123
56	2000	5.669397
64	2000	6.616356
72	2000	7.568089
80	2000	8.515985
88	2000	9.474110
96	2000	10.375650
104	2000	11.405517
112	2000	12.334417
120	2000	13.352129
128	2000	14.135547
1	2500	80.848588
2	2500	81.629690
4	2500	27.422584
8	2500	11.697567
16	2500	6.051435
24	2500	4.703756
32	2500	4.379467
40	2500	5.046721
48	2500	6.213637
56	2500	7.437376
64	2500	8.657787
72	2500	9.894677
80	2500	11.242564
88	2500	12.429071
96	2500	13.713875
104	2500	14.897403
112	2500	16.162960
